id,category,topic,question,answer,keywords,context,related_topics
creator_001,pencipta,Identitas Tim,Siapa yang membuat ECOMBOT?,ECOMBOT dibuat oleh tim GreenVerse yaitu tim kolaboratif yang tergabung dalam PKM-AMLI skema Riset Sosial Humaniora (RSH). Tim ini berfokus pada penguatan literasi lingkungan melalui pengembangan media pembelajaran digital sebagai sarana literasi lingkungan dengan kearifan lokal yang relevan dalam pembelajaran abad ke-21.,"ecombot,greenverse,pencipta,tim,PKM-AMLI,RSH",identitas_pencipta,"creator_002,character_001"
creator_002,pencipta,Anggota Tim,Siapa saja anggota tim GreenVerse?,Tim GreenVerse terdiri dari lima orang: Nasrul Adadi (Pendidikan Kimia); Desi Fauza Nurjanah (Pendidikan Kimia); Defrizal Yahdiyan Risyad (Ilmu Komputer); Muhammad Ridho Fajri (Pendidikan Ilmu Komputer); Muhammad Fathin Mughits (Pendidikan Ilmu Komputer). Tim ini merupakan kolaborasi lintas disiplin ilmu antara pendidikan kimia dan ilmu komputer.,"anggota tim,greenverse,nasrul adadi,desi fauza,defrizal,ridho fajri,fathin mughits",anggota_tim,"creator_001,creator_003"
creator_003,pencipta,Program PKM-AMLI,Apa itu PKM-AMLI?,PKM-AMLI adalah Program Kreativitas Mahasiswa bidang Artikel Ilmiah yang merupakan skema Riset Sosial Humaniora (RSH). Program ini mendukung mahasiswa dalam melakukan penelitian dan pengembangan yang berfokus pada aspek sosial dan kemanusiaan termasuk literasi lingkungan dan pengembangan media pembelajaran digital.,"PKM-AMLI,program,riset sosial humaniora,RSH",program_pendanaan,"creator_001,creator_004"
creator_004,pencipta,Visi Tim GreenVerse,Apa visi tim GreenVerse?,Visi tim GreenVerse adalah menguatkan literasi lingkungan melalui pengembangan media pembelajaran digital yang mengintegrasikan kearifan lokal dan relevan dengan pembelajaran abad ke-21. Tim ini percaya bahwa teknologi dapat menjadi jembatan antara tradisi lokal dan pendidikan modern untuk menciptakan kesadaran lingkungan yang berkelanjutan.,"visi,misi,literasi lingkungan,media digital,abad 21",visi_misi,"creator_001,value_001"
creator_005,pencipta,Kolaborasi Interdisipliner,Mengapa tim GreenVerse interdisipliner?,Tim GreenVerse menggabungkan keahlian dari Pendidikan Kimia dan Ilmu Komputer untuk menciptakan solusi pembelajaran yang komprehensif. Pendidikan Kimia memberikan konten ilmiah tentang lingkungan dan kimia hijau sementara Ilmu Komputer mengembangkan platform teknologi chatbot yang interaktif dan mudah diakses.,"interdisipliner,kolaborasi,pendidikan kimia,ilmu komputer,keahlian",kolaborasi_tim,"creator_002,creator_004"
creator_006,pencipta,Peran Nasrul Adadi,Apa peran Nasrul Adadi dalam tim?,Nasrul Adadi dari Pendidikan Kimia berperan dalam mengembangkan konten pembelajaran terkait kimia hijau aspek sains lingkungan dan integrasi konsep kimia dalam tradisi Mapag Hujan. Keahliannya memastikan konten yang disampaikan ECOMBOT akurat secara ilmiah dan mudah dipahami.,"nasrul adadi,pendidikan kimia,konten,peran",peran_anggota,"creator_002,green_001"
creator_007,pencipta,Peran Desi Fauza,Apa peran Desi Fauza Nurjanah dalam tim?,Desi Fauza Nurjanah dari Pendidikan Kimia berkontribusi dalam merancang materi pembelajaran kimia hijau dan mengintegrasikannya dengan aspek budaya lokal. Ia juga membantu mengembangkan konten yang sesuai dengan kurikulum pendidikan dan mudah dipahami siswa.,"desi fauza,pendidikan kimia,materi pembelajaran,peran",peran_anggota,"creator_002,green_001"
creator_008,pencipta,Peran Defrizal,Apa peran Defrizal Yahdiyan Risyad dalam tim?,Defrizal Yahdiyan Risyad dari Ilmu Komputer berperan dalam pengembangan arsitektur sistem chatbot merancang algoritma respons dan mengintegrasikan teknologi AI untuk membuat ECOMBOT dapat berinteraksi secara natural dengan pengguna.,"defrizal,ilmu komputer,pengembangan sistem,AI,peran",peran_anggota,"creator_002,character_004"
creator_009,pencipta,Peran Muhammad Ridho,Apa peran Muhammad Ridho Fajri dalam tim?,Muhammad Ridho Fajri dari Pendidikan Ilmu Komputer berkontribusi dalam pengembangan antarmuka pengguna (UI/UX) dan memastikan platform ECOMBOT mudah digunakan oleh siswa dan guru. Ia juga membantu dalam pengembangan konten interaktif dan multimedia.,"ridho fajri,pendidikan ilmu komputer,UI/UX,peran",peran_anggota,"creator_002,character_004"
creator_010,pencipta,Peran Muhammad Fathin,Apa peran Muhammad Fathin Mughits dalam tim?,Muhammad Fathin Mughits dari Pendidikan Ilmu Komputer berperan dalam pengembangan database sistem manajemen konten dan testing platform ECOMBOT. Ia memastikan sistem berjalan stabil dan data pembelajaran tersimpan dengan baik.,"fathin mughits,pendidikan ilmu komputer,database,testing,peran",peran_anggota,"creator_002,character_004"
